ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090820.121795,stop,cv,877.2794151306152,880.2403593063354,963.2164764404297,924.4141530990601,0.5677655339241028,0.826085090637207
1770090820.157125,stop,cv,877.2794151306152,880.2403593063354,963.2164764404297,924.4141530990601,0.5677655339241028,0.826085090637207
1770090820.188887,stop,cv,878.5263061523438,869.8780417442322,930.0458908081055,907.4799299240112,0.574712336063385,0.8171574473381042
1770090820.223864,stop,cv,864.997501373291,870.7983827590942,1029.302101135254,929.291889667511,0.591930091381073,0.8115240335464478
1770090820.257114,stop,cv,864.997501373291,870.7983827590942,1029.302101135254,929.291889667511,0.591930091381073,0.8115240335464478
1770090820.290444,stop,cv,877.166748046875,868.559296131134,1021.4953994750977,911.0328698158264,0.594270646572113,0.8052839040756226
1770090820.320292,stop,cv,877.166748046875,868.559296131134,1021.4953994750977,911.0328698158264,0.594270646572113,0.8052839040756226
1770090820.357116,stop,cv,885.1088905334473,897.3531532287598,923.1901931762695,912.0130777359009,0.591924786567688,0.8133551478385925
1770090820.390450,stop,cv,885.1088905334473,897.3531532287598,923.1901931762695,912.0130777359009,0.591924786567688,0.8133551478385925
1770090820.423799,stop,cv,897.7333831787109,898.0028057098389,887.0878028869629,880.476222038269,0.5689805150032043,0.8189829587936401
1770090820.457120,stop,cv,897.7333831787109,898.0028057098389,887.0878028869629,880.476222038269,0.5689805150032043,0.8189829587936401
1770090820.490457,stop,cv,879.8336219787598,886.9247245788574,910.7366180419922,865.3784966468811,0.5806893706321716,0.826545000076294
1770090820.523797,stop,cv,879.8336219787598,886.9247245788574,910.7366180419922,865.3784966468811,0.5806893706321716,0.826545000076294
1770090820.557075,stop,cv,879.8336219787598,886.9247245788574,910.7366180419922,865.3784966468811,0.5806893706321716,0.826545000076294
1770090820.590452,stop,cv,873.0741119384766,852.4314737319946,875.2966690063477,838.8430380821228,0.5707852840423584,0.8323721885681152
1770090820.623071,stop,cv,873.0741119384766,852.4314737319946,875.2966690063477,838.8430380821228,0.5707852840423584,0.8323721885681152
1770090820.657113,stop,cv,824.0033912658691,826.9203186035156,872.0981025695801,827.8800559043884,0.579886794090271,0.8380494713783264
1770090820.689925,stop,cv,815.5768203735352,832.9732489585876,871.0000419616699,842.1865081787109,0.5947493314743042,0.8427979350090027
1770090820.718980,stop,cv,815.5768203735352,832.9732489585876,871.0000419616699,842.1865081787109,0.5947493314743042,0.8427979350090027
1770090820.757125,stop,cv,826.6427421569824,854.8002076148987,872.9036521911621,855.2274513244629,0.603829026222229,0.8468369841575623
1770090820.790922,stop,cv,826.6427421569824,854.8002076148987,872.9036521911621,855.2274513244629,0.603829026222229,0.8468369841575623
1770090820.821484,stop,cv,826.6427421569824,854.8002076148987,872.9036521911621,855.2274513244629,0.603829026222229,0.8468369841575623
1770090820.857118,stop,cv,800.4322242736816,829.339907169342,838.6279106140137,805.4155468940735,0.5926579833030701,0.8489463925361633
1770090820.889334,stop,cv,,,,,,
1770090820.920518,stop,cv,,,,,,
1770090820.955728,stop,cv,,,,,,
1770090820.990450,stop,cv,908.6220932006836,1237.255940437317,718.9335250854492,1166.8910837173462,0.561637818813324,0.7770789861679077
1770090821.020679,stop,cv,908.6220932006836,1237.255940437317,718.9335250854492,1166.8910837173462,0.561637818813324,0.7770789861679077
1770090821.052840,stop,cv,1137.4653625488281,1424.0693950653076,636.0126113891602,1274.3883562088013,0.5261741876602173,0.7164004445075989
1770090821.087954,stop,cv,1109.1002655029297,1400.5714416503906,555.7073020935059,1243.7672710418701,0.5092846155166626,0.70174640417099
1770090821.122856,stop,cv,1109.1002655029297,1400.5714416503906,555.7073020935059,1243.7672710418701,0.5092846155166626,0.70174640417099
1770090821.157118,stop,cv,1109.1002655029297,1400.5714416503906,555.7073020935059,1243.7672710418701,0.5092846155166626,0.70174640417099
1770090821.190746,stop,cv,1053.2094955444336,1209.6906423568726,582.7284622192383,1229.0133619308472,0.48944684863090515,0.6745436191558838
1770090821.221269,stop,cv,1053.2094955444336,1209.6906423568726,582.7284622192383,1229.0133619308472,0.48944684863090515,0.6745436191558838
1770090821.257117,stop,cv,1099.8149871826172,1137.3352432250977,503.29118728637695,1267.5120306015015,0.47385483980178833,0.6498693227767944
1770090821.290453,stop,cv,1061.1785888671875,1166.609387397766,542.9565238952637,1503.1858921051025,0.43841829895973206,0.5938104391098022
1770090821.323076,stop,cv,1061.1785888671875,1166.609387397766,542.9565238952637,1503.1858921051025,0.43841829895973206,0.5938104391098022
1770090821.352273,stop,cv,1061.1785888671875,1166.609387397766,542.9565238952637,1503.1858921051025,0.43841829895973206,0.5938104391098022
1770090821.385539,stop,cv,1120.7900619506836,1287.534098625183,509.83617782592773,1522.0402336120605,0.4202124774456024,0.555573046207428
1770090821.423548,stop,cv,1142.211799621582,1309.4569730758667,514.5758056640625,1632.3919343948364,0.39378267526626587,0.5102358460426331
1770090821.452503,stop,cv,1142.211799621582,1309.4569730758667,514.5758056640625,1632.3919343948364,0.39378267526626587,0.5102358460426331
