ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090409.095882,stop,none,,,,,,
1770090409.130347,stop,none,,,,,,
1770090409.165996,stop,none,,,,,,
1770090409.197775,stop,none,,,,,,
1770090409.229655,stop,none,,,,,,
1770090409.264645,stop,none,,,,,,
1770090409.297038,stop,none,,,,,,
1770090409.332959,stop,none,,,,,,
1770090409.364437,stop,none,,,,,,
1770090409.396988,stop,none,,,,,,
1770090409.430262,stop,none,,,,,,
1770090409.467554,stop,none,,,,,,
1770090409.500899,stop,none,,,,,,
1770090409.534032,stop,none,,,,,,
1770090409.567559,stop,none,,,,,,
1770090409.597024,stop,none,,,,,,
1770090409.634222,stop,none,,,,,,
1770090409.667560,stop,none,,,,,,
1770090409.697027,stop,none,,,,,,
1770090409.729478,stop,none,,,,,,
1770090409.766203,stop,none,,,,,,
1770090409.800888,stop,none,,,,,,
1770090409.834227,stop,none,,,,,,
1770090409.863429,stop,none,,,,,,
1770090409.895936,stop,none,,,,,,
1770090409.934231,stop,none,,,,,,
1770090409.963370,stop,none,,,,,,
1770090410.030882,stop,cv,,,,,,
1770090410.030895,stop,cv,,,,,,
1770090410.067161,stop,cv,,,,,,
1770090410.102594,stop,cv,,,,,,
1770090410.135910,stop,cv,,,,,,
1770090410.165478,stop,cv,,,,,,
1770090410.202578,stop,cv,,,,,,
1770090410.235915,stop,cv,,,,,,
1770090410.269242,stop,cv,,,,,,
1770090410.298827,stop,cv,,,,,,
1770090410.335525,stop,cv,,,,,,
1770090410.369250,stop,cv,,,,,,
1770090410.402581,stop,cv,,,,,,
1770090410.434387,stop,cv,,,,,,
1770090410.469247,stop,cv,,,,,,
1770090410.501425,stop,cv,,,,,,
1770090410.535911,stop,cv,,,,,,
1770090410.569167,stop,cv,,,,,,
1770090410.602582,stop,cv,,,,,,
1770090410.635908,stop,cv,,,,,,
1770090410.665111,stop,cv,,,,,,
1770090410.702573,stop,cv,,,,,,
1770090410.732364,stop,cv,,,,,,
1770090410.769329,stop,cv,,,,,,
1770090410.798115,stop,cv,,,,,,
1770090410.835913,stop,cv,,,,,,
1770090410.869245,stop,cv,,,,,,
1770090410.902581,stop,cv,,,,,,
1770090410.934050,stop,cv,,,,,,
1770090410.969247,stop,cv,,,,,,
1770090411.002580,stop,cv,,,,,,
1770090411.035906,stop,cv,,,,,,
1770090411.069247,stop,cv,,,,,,
1770090411.102577,stop,cv,,,,,,
1770090411.135908,stop,cv,,,,,,
1770090411.166016,stop,cv,,,,,,
1770090411.202576,stop,cv,,,,,,
1770090411.235905,stop,cv,,,,,,
1770090411.269246,stop,cv,,,,,,
1770090411.301206,stop,cv,,,,,,
1770090411.335906,stop,cv,,,,,,
1770090411.369238,stop,cv,,,,,,
1770090411.397702,stop,cv,,,,,,
1770090411.435905,stop,cv,,,,,,
1770090411.464986,stop,cv,,,,,,
1770090411.502581,stop,cv,,,,,,
1770090411.533532,stop,cv,,,,,,
1770090411.569238,stop,cv,,,,,,
1770090411.602578,stop,cv,,,,,,
1770090411.635909,stop,cv,,,,,,
1770090411.668068,stop,cv,,,,,,
1770090411.699255,stop,cv,,,,,,
1770090411.735906,stop,cv,,,,,,
1770090411.769240,stop,cv,,,,,,
1770090411.802578,stop,cv,,,,,,
1770090411.835907,stop,cv,,,,,,
1770090411.869241,stop,cv,,,,,,
1770090411.902570,stop,cv,,,,,,
1770090411.935908,stop,cv,,,,,,
1770090411.969239,stop,cv,,,,,,
1770090412.002575,stop,cv,,,,,,
1770090412.034728,stop,cv,,,,,,
1770090412.068625,stop,cv,,,,,,
1770090412.102567,stop,cv,,,,,,
1770090412.133361,stop,cv,,,,,,
1770090412.169244,stop,cv,,,,,,
1770090412.201068,stop,cv,,,,,,
1770090412.235907,stop,cv,,,,,,
1770090412.269239,stop,cv,,,,,,
1770090412.299902,stop,cv,,,,,,
1770090412.335917,stop,cv,,,,,,
1770090412.367836,stop,cv,,,,,,
1770090412.397850,stop,cv,,,,,,
1770090412.435909,stop,cv,,,,,,
1770090412.469243,stop,cv,,,,,,
1770090412.502570,stop,cv,,,,,,
1770090412.535913,stop,cv,,,,,,
1770090412.569240,stop,cv,,,,,,
1770090412.602576,stop,cv,,,,,,
1770090412.632094,stop,cv,,,,,,
1770090412.669235,stop,cv,,,,,,
1770090412.702573,stop,cv,,,,,,
1770090412.735907,stop,cv,,,,,,
1770090412.768044,stop,cv,,,,,,
1770090412.802571,stop,cv,,,,,,
1770090412.835903,stop,cv,,,,,,
1770090412.869234,stop,cv,,,,,,
1770090412.902594,stop,cv,,,,,,
