ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090678.036246,stop,none,,,,,,
1770090678.072858,stop,none,,,,,,
1770090678.105172,stop,none,,,,,,
1770090678.141266,stop,none,,,,,,
1770090678.172763,stop,none,,,,,,
1770090678.206154,stop,none,,,,,,
1770090678.241265,stop,none,,,,,,
1770090678.270149,stop,none,,,,,,
1770090678.307922,stop,none,,,,,,
1770090678.338504,stop,none,,,,,,
1770090678.371839,stop,none,,,,,,
1770090678.406094,stop,none,,,,,,
1770090678.441253,stop,none,,,,,,
1770090678.472791,stop,none,,,,,,
1770090678.507926,stop,none,,,,,,
1770090678.536827,stop,none,,,,,,
