ts,cmd,source,left_x,left_y,right_x,right_y,left_vis,right_vis
1770090545.838066,stop,none,,,,,,
1770090545.872498,stop,none,,,,,,
1770090545.907610,stop,none,,,,,,
1770090545.943089,stop,none,,,,,,
1770090545.972477,stop,none,,,,,,
1770090546.005448,stop,none,,,,,,
1770090546.038263,stop,none,,,,,,
1770090546.076420,stop,none,,,,,,
1770090546.109084,stop,none,,,,,,
1770090546.139012,stop,none,,,,,,
1770090546.172816,stop,none,,,,,,
1770090546.209747,stop,none,,,,,,
1770090546.240446,stop,none,,,,,,
1770090546.272408,stop,none,,,,,,
1770090546.306237,stop,none,,,,,,
1770090546.338495,stop,cv,,,,,,
1770090546.376401,stop,cv,,,,,,
1770090546.409742,stop,cv,,,,,,
1770090546.439071,stop,cv,,,,,,
1770090546.476409,stop,cv,,,,,,
1770090546.505483,stop,cv,,,,,,
1770090546.541879,stop,cv,,,,,,
1770090546.576411,stop,cv,,,,,,
1770090546.609725,stop,cv,,,,,,
1770090546.643068,stop,cv,,,,,,
1770090546.676406,stop,cv,,,,,,
1770090546.709739,stop,cv,,,,,,
1770090546.742472,stop,cv,,,,,,
1770090546.772480,stop,cv,,,,,,
1770090546.806758,stop,cv,,,,,,
1770090546.838276,stop,cv,,,,,,
1770090546.876408,stop,cv,,,,,,
1770090546.909742,stop,cv,,,,,,
1770090546.943069,stop,cv,,,,,,
1770090546.975848,stop,cv,,,,,,
1770090547.009738,stop,cv,,,,,,
1770090547.038550,stop,cv,,,,,,
1770090547.076407,stop,cv,,,,,,
1770090547.106160,stop,cv,,,,,,
1770090547.143075,stop,cv,,,,,,
1770090547.176400,stop,cv,,,,,,
1770090547.206346,stop,cv,,,,,,
1770090547.243081,stop,cv,,,,,,
1770090547.276409,stop,cv,,,,,,
1770090547.308428,stop,cv,,,,,,
1770090547.342009,stop,cv,,,,,,
1770090547.376419,stop,cv,,,,,,
1770090547.409741,stop,cv,,,,,,
1770090547.443141,stop,cv,,,,,,
1770090547.473961,stop,cv,,,,,,
1770090547.505757,stop,cv,,,,,,
1770090547.543069,stop,cv,,,,,,
1770090547.572798,stop,cv,,,,,,
1770090547.609817,stop,cv,,,,,,
1770090547.638889,stop,cv,,,,,,
1770090547.673492,stop,cv,,,,,,
1770090547.706155,stop,cv,,,,,,
1770090547.739820,stop,cv,,,,,,
1770090547.775655,stop,cv,,,,,,
1770090547.809735,stop,cv,,,,,,
1770090547.842622,stop,cv,,,,,,
1770090547.876405,stop,cv,,,,,,
1770090547.909737,stop,cv,,,,,,
1770090547.942507,stop,cv,,,,,,
1770090547.976409,stop,cv,,,,,,
1770090548.009389,stop,cv,,,,,,
1770090548.043075,stop,cv,,,,,,
1770090548.072398,stop,cv,,,,,,
1770090548.108855,stop,cv,,,,,,
1770090548.143073,stop,cv,,,,,,
1770090548.176404,stop,cv,,,,,,
1770090548.209745,stop,cv,,,,,,
1770090548.242186,stop,cv,,,,,,
1770090548.273852,stop,cv,,,,,,
1770090548.304932,stop,cv,,,,,,
1770090548.343071,stop,cv,,,,,,
1770090548.371733,stop,cv,,,,,,
1770090548.405734,stop,cv,,,,,,
1770090548.439377,stop,cv,,,,,,
1770090548.472405,stop,cv,,,,,,
1770090548.509733,stop,cv,,,,,,
1770090548.542513,stop,cv,,,,,,
1770090548.573494,stop,cv,,,,,,
1770090548.605729,stop,cv,,,,,,
1770090548.638896,stop,cv,,,,,,
1770090548.672460,stop,cv,,,,,,
1770090548.705152,stop,cv,,,,,,
1770090548.739161,stop,cv,,,,,,
1770090548.776405,stop,cv,,,,,,
1770090548.809384,stop,cv,,,,,,
1770090548.843065,stop,cv,,,,,,
1770090548.872390,stop,cv,,,,,,
1770090548.905739,stop,cv,,,,,,
1770090548.939058,stop,cv,,,,,,
1770090548.972406,stop,cv,,,,,,
1770090549.004839,stop,cv,,,,,,
1770090549.039142,stop,cv,,,,,,
1770090549.076402,stop,cv,,,,,,
1770090549.105766,stop,cv,,,,,,
1770090549.143068,stop,cv,,,,,,
1770090549.172511,stop,cv,,,,,,
1770090549.205600,stop,cv,,,,,,
1770090549.239109,stop,cv,,,,,,
1770090549.276396,stop,cv,,,,,,
1770090549.305847,stop,cv,,,,,,
1770090549.339089,stop,cv,,,,,,
1770090549.376399,stop,cv,,,,,,
1770090549.409781,stop,cv,,,,,,
1770090549.438959,stop,cv,,,,,,
1770090549.476396,stop,cv,,,,,,
1770090549.506042,stop,cv,,,,,,
1770090549.543085,stop,cv,,,,,,
1770090549.572453,stop,cv,,,,,,
1770090549.609732,stop,cv,,,,,,
1770090549.643068,stop,cv,,,,,,
1770090549.674322,stop,cv,,,,,,
1770090549.709730,stop,cv,,,,,,
1770090549.740350,stop,cv,,,,,,
1770090549.771639,stop,cv,,,,,,
1770090549.809729,stop,cv,,,,,,
1770090549.839096,stop,cv,,,,,,
1770090549.876395,stop,cv,,,,,,
1770090549.908251,stop,cv,,,,,,
1770090549.943063,stop,cv,,,,,,
1770090549.976397,stop,cv,,,,,,
1770090550.005758,stop,cv,,,,,,
1770090550.042348,stop,cv,,,,,,
1770090550.076401,stop,cv,,,,,,
1770090550.106607,stop,cv,,,,,,
1770090550.142319,stop,cv,,,,,,
1770090550.172407,stop,cv,,,,,,
1770090550.205127,stop,cv,,,,,,
1770090550.239095,stop,cv,,,,,,
1770090550.272491,stop,cv,,,,,,
1770090550.307939,stop,cv,,,,,,
1770090550.338384,stop,cv,,,,,,
1770090550.373649,stop,cv,,,,,,
1770090550.405306,stop,cv,,,,,,
1770090550.442374,stop,cv,,,,,,
1770090550.472403,stop,cv,,,,,,
1770090550.505788,stop,cv,,,,,,
1770090550.543059,stop,cv,,,,,,
1770090550.576393,stop,cv,,,,,,
1770090550.609728,stop,cv,,,,,,
1770090550.643064,stop,cv,,,,,,
1770090550.676179,stop,cv,,,,,,
1770090550.709728,stop,cv,,,,,,
1770090550.743061,stop,cv,,,,,,
1770090550.773972,stop,cv,,,,,,
1770090550.805033,stop,cv,,,,,,
1770090550.843060,stop,cv,,,,,,
1770090550.876394,stop,cv,,,,,,
1770090550.908848,stop,cv,,,,,,
1770090550.940174,stop,cv,,,,,,
1770090550.972423,stop,cv,,,,,,
1770090551.008975,stop,cv,,,,,,
1770090551.039152,stop,cv,,,,,,
1770090551.075738,stop,cv,,,,,,
1770090551.108733,stop,cv,,,,,,
1770090551.139155,stop,cv,,,,,,
1770090551.173351,stop,cv,,,,,,
1770090551.209728,stop,cv,,,,,,
1770090551.243068,stop,cv,,,,,,
1770090551.276396,stop,cv,,,,,,
1770090551.309281,stop,cv,,,,,,
1770090551.343074,stop,cv,,,,,,
1770090551.376495,stop,cv,,,,,,
1770090551.408312,stop,cv,,,,,,
1770090551.443101,stop,cv,,,,,,
1770090551.473553,stop,cv,,,,,,
1770090551.505750,stop,cv,,,,,,
1770090551.543073,stop,cv,,,,,,
1770090551.576398,stop,cv,,,,,,
1770090551.605018,stop,cv,,,,,,
1770090551.642368,stop,cv,,,,,,
1770090551.672407,stop,cv,,,,,,
1770090551.709729,stop,cv,,,,,,
1770090551.739330,stop,cv,,,,,,
1770090551.772409,stop,cv,,,,,,
1770090551.809734,stop,cv,,,,,,
1770090551.843069,stop,cv,,,,,,
1770090551.876422,stop,cv,,,,,,
1770090551.905790,stop,cv,,,,,,
1770090551.941653,stop,cv,,,,,,
1770090551.972603,stop,cv,,,,,,
1770090552.008940,stop,cv,,,,,,
1770090552.043074,stop,cv,,,,,,
1770090552.071691,stop,cv,,,,,,
1770090552.107853,stop,cv,,,,,,
1770090552.139911,stop,cv,,,,,,
1770090552.176411,stop,cv,,,,,,
1770090552.209730,stop,cv,,,,,,
1770090552.243077,stop,cv,,,,,,
1770090552.272406,stop,cv,,,,,,
1770090552.305766,stop,cv,,,,,,
1770090552.343069,stop,cv,,,,,,
1770090552.372103,stop,cv,,,,,,
1770090552.409105,stop,cv,,,,,,
1770090552.443074,stop,cv,,,,,,
1770090552.476410,stop,cv,,,,,,
1770090552.509757,stop,cv,,,,,,
1770090552.543162,stop,cv,,,,,,
1770090552.576183,stop,cv,,,,,,
1770090552.605816,stop,cv,,,,,,
1770090552.643068,stop,cv,,,,,,
1770090552.671945,stop,cv,,,,,,
1770090552.709506,stop,cv,,,,,,
1770090552.743069,stop,cv,,,,,,
1770090552.776403,stop,cv,,,,,,
1770090552.805435,stop,cv,,,,,,
1770090552.843066,stop,cv,,,,,,
1770090552.876400,stop,cv,,,,,,
1770090552.909130,stop,cv,,,,,,
1770090552.943058,stop,cv,,,,,,
1770090552.972427,stop,cv,,,,,,
1770090553.007483,stop,cv,,,,,,
1770090553.039091,stop,cv,,,,,,
1770090553.074581,stop,cv,,,,,,
1770090553.105671,stop,cv,,,,,,
1770090553.139100,stop,cv,,,,,,
1770090553.172516,stop,cv,,,,,,
1770090553.205840,stop,cv,,,,,,
1770090553.259336,stop,cv,,,,,,
1770090553.271599,stop,cv,,,,,,
1770090553.305101,stop,cv,,,,,,
1770090553.338943,stop,cv,,,,,,
1770090553.373729,stop,cv,,,,,,
1770090553.405762,stop,cv,,,,,,
1770090553.443060,stop,cv,,,,,,
1770090553.472430,stop,cv,,,,,,
1770090553.505771,stop,cv,,,,,,
1770090553.543060,stop,cv,,,,,,
1770090553.576390,stop,cv,,,,,,
1770090553.609723,stop,cv,,,,,,
1770090553.643062,stop,cv,,,,,,
1770090553.672459,stop,cv,,,,,,
1770090553.709726,stop,cv,,,,,,
1770090553.743059,stop,cv,,,,,,
1770090553.776054,stop,cv,,,,,,
1770090553.805765,stop,cv,,,,,,
1770090553.843060,stop,cv,,,,,,
1770090553.872476,stop,cv,,,,,,
1770090553.905760,stop,cv,,,,,,
1770090553.939172,stop,cv,,,,,,
1770090553.976396,stop,cv,,,,,,
1770090554.005071,stop,cv,,,,,,
1770090554.039092,stop,cv,,,,,,
1770090554.076391,stop,cv,,,,,,
1770090554.109725,stop,cv,,,,,,
1770090554.142344,stop,cv,,,,,,
1770090554.172467,stop,cv,,,,,,
1770090554.209734,stop,cv,,,,,,
1770090554.239020,stop,cv,,,,,,
1770090554.274129,stop,cv,,,,,,
1770090554.305860,stop,cv,,,,,,
1770090554.343066,stop,cv,,,,,,
1770090554.371525,stop,cv,,,,,,
1770090554.405766,stop,cv,,,,,,
1770090554.439102,stop,cv,,,,,,
1770090554.476392,stop,cv,,,,,,
1770090554.509726,stop,cv,,,,,,
1770090554.543056,stop,cv,,,,,,
1770090554.576406,stop,cv,,,,,,
1770090554.608356,stop,cv,,,,,,
1770090554.643058,stop,cv,,,,,,
1770090554.676392,stop,cv,,,,,,
1770090554.705762,stop,cv,,,,,,
1770090554.743058,stop,cv,,,,,,
1770090554.776391,stop,cv,,,,,,
1770090554.805789,stop,cv,,,,,,
1770090554.839167,stop,cv,,,,,,
1770090554.876390,stop,cv,,,,,,
1770090554.905791,stop,cv,,,,,,
1770090554.943056,stop,cv,,,,,,
1770090554.974974,stop,cv,,,,,,
1770090555.009686,stop,cv,,,,,,
1770090555.043056,stop,cv,,,,,,
1770090555.072016,stop,cv,,,,,,
1770090555.108954,stop,cv,,,,,,
1770090555.142835,stop,cv,,,,,,
1770090555.176390,stop,cv,,,,,,
1770090555.205821,stop,cv,,,,,,
1770090555.243060,stop,cv,,,,,,
1770090555.272068,stop,cv,,,,,,
1770090555.305787,stop,cv,,,,,,
1770090555.342160,stop,cv,,,,,,
1770090555.376400,stop,cv,,,,,,
1770090555.409241,stop,cv,,,,,,
1770090555.439038,stop,cv,,,,,,
1770090555.471512,stop,cv,,,,,,
1770090555.504929,stop,cv,,,,,,
1770090555.539165,stop,cv,,,,,,
1770090555.572412,stop,cv,,,,,,
1770090555.609726,stop,cv,,,,,,
1770090555.643060,stop,cv,,,,,,
1770090555.673187,stop,cv,,,,,,
1770090555.705557,stop,cv,,,,,,
1770090555.742263,stop,cv,,,,,,
1770090555.776394,stop,cv,,,,,,
1770090555.808731,stop,cv,,,,,,
1770090555.839080,stop,cv,,,,,,
1770090555.871756,stop,cv,,,,,,
1770090555.909730,stop,cv,,,,,,
1770090555.943063,stop,cv,,,,,,
1770090555.972372,stop,cv,,,,,,
1770090556.005768,stop,cv,,,,,,
1770090556.040516,stop,cv,,,,,,
1770090556.071643,stop,cv,,,,,,
1770090556.109723,stop,cv,,,,,,
1770090556.142090,stop,cv,,,,,,
1770090556.176393,stop,cv,,,,,,
1770090556.204891,stop,cv,,,,,,
1770090556.239097,stop,cv,,,,,,
1770090556.271677,stop,cv,,,,,,
1770090556.305768,stop,cv,,,,,,
1770090556.343059,stop,cv,,,,,,
1770090556.372505,stop,cv,,,,,,
1770090556.409722,stop,cv,,,,,,
1770090556.443054,stop,cv,,,,,,
1770090556.474070,stop,cv,,,,,,
1770090556.505770,stop,cv,,,,,,
1770090556.542362,stop,cv,,,,,,
1770090556.571766,stop,cv,,,,,,
1770090556.609653,stop,cv,,,,,,
1770090556.640655,stop,cv,,,,,,
1770090556.676393,stop,cv,,,,,,
1770090556.704822,stop,cv,,,,,,
1770090556.743059,stop,cv,,,,,,
1770090556.775806,stop,cv,,,,,,
1770090556.809729,stop,cv,,,,,,
1770090556.843056,stop,cv,,,,,,
1770090556.876395,stop,cv,,,,,,
1770090556.909721,stop,cv,,,,,,
1770090556.943058,stop,cv,,,,,,
1770090556.972217,stop,cv,,,,,,
1770090557.007120,stop,cv,,,,,,
1770090557.039194,stop,cv,,,,,,
1770090557.072432,stop,cv,,,,,,
